[Sat Apr 25 22:34:46.073581 2015] [:error] [pid 6268:tid 1068] [client ::1:61168] PHP   9. yii\\base\\Controller->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\controllers\\SiteController.php:70
[Sat Apr 25 22:34:46.073581 2015] [:error] [pid 6268:tid 1068] [client ::1:61168] PHP  10. yii\\base\\View->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:367
[Sat Apr 25 22:34:46.073581 2015] [:error] [pid 6268:tid 1068] [client ::1:61168] PHP  11. yii\\base\\View->renderFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:149
[Sat Apr 25 22:34:46.073581 2015] [:error] [pid 6268:tid 1068] [client ::1:61168] PHP  12. yii\\base\\View->renderPhpFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:247
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\views\\site\\index.php on line 57
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP Stack trace:
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP   1. {main}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:0
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP   2. yii\\base\\Application->run() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:18
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP   3. yii\\web\\Application->handleRequest() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Application.php:375
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP   4. yii\\base\\Module->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\web\\Application.php:83
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP   5. yii\\base\\Controller->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Module.php:455
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP   6. yii\\base\\InlineAction->runWithParams() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:151
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP   7. call_user_func_array:{C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP   8. frontend\\controllers\\SiteController->actionIndex() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP   9. yii\\base\\Controller->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\controllers\\SiteController.php:70
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP  10. yii\\base\\View->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:367
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP  11. yii\\base\\View->renderFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:149
[Sat Apr 25 22:35:20.852933 2015] [:error] [pid 6268:tid 1068] [client ::1:61171] PHP  12. yii\\base\\View->renderPhpFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:247
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\views\\site\\index.php on line 57
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP Stack trace:
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP   1. {main}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:0
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP   2. yii\\base\\Application->run() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:18
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP   3. yii\\web\\Application->handleRequest() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Application.php:375
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP   4. yii\\base\\Module->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\web\\Application.php:83
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP   5. yii\\base\\Controller->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Module.php:455
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP   6. yii\\base\\InlineAction->runWithParams() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:151
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP   7. call_user_func_array:{C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP   8. frontend\\controllers\\SiteController->actionIndex() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP   9. yii\\base\\Controller->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\controllers\\SiteController.php:70
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP  10. yii\\base\\View->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:367
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP  11. yii\\base\\View->renderFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:149
[Sat Apr 25 22:36:24.037983 2015] [:error] [pid 6268:tid 1068] [client ::1:61178] PHP  12. yii\\base\\View->renderPhpFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:247
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP Parse error:  syntax error, unexpected ',' in C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\views\\site\\index.php on line 28
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP Stack trace:
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP   1. {main}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:0
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP   2. yii\\base\\Application->run() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:18
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP   3. yii\\web\\Application->handleRequest() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Application.php:375
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP   4. yii\\base\\Module->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\web\\Application.php:83
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP   5. yii\\base\\Controller->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Module.php:455
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP   6. yii\\base\\InlineAction->runWithParams() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:151
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP   7. call_user_func_array:{C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP   8. frontend\\controllers\\SiteController->actionIndex() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP   9. yii\\base\\Controller->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\controllers\\SiteController.php:70
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP  10. yii\\base\\View->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:367
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP  11. yii\\base\\View->renderFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:149
[Sat Apr 25 22:37:44.874906 2015] [:error] [pid 6268:tid 1068] [client ::1:61185] PHP  12. yii\\base\\View->renderPhpFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:247
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\views\\site\\index.php on line 72
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP Stack trace:
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP   1. {main}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:0
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP   2. yii\\base\\Application->run() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:18
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP   3. yii\\web\\Application->handleRequest() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Application.php:375
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP   4. yii\\base\\Module->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\web\\Application.php:83
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP   5. yii\\base\\Controller->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Module.php:455
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP   6. yii\\base\\InlineAction->runWithParams() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:151
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP   7. call_user_func_array:{C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP   8. frontend\\controllers\\SiteController->actionIndex() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP   9. yii\\base\\Controller->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\controllers\\SiteController.php:70
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP  10. yii\\base\\View->render() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:367
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP  11. yii\\base\\View->renderFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:149
[Sat Apr 25 22:40:05.652224 2015] [:error] [pid 6268:tid 1068] [client ::1:61259] PHP  12. yii\\base\\View->renderPhpFile() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\View.php:247
[Sat Apr 25 22:40:25.260305 2015] [:error] [pid 6268:tid 1068] [client ::1:61262] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\views\\site\\index.php on line 72
[Sat Apr 25 22:40:25.260305 2015] [:error] [pid 6268:tid 1068] [client ::1:61262] PHP Stack trace:
[Sat Apr 25 22:40:25.260305 2015] [:error] [pid 6268:tid 1068] [client ::1:61262] PHP   1. {main}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:0
[Sat Apr 25 22:40:25.260305 2015] [:error] [pid 6268:tid 1068] [client ::1:61262] PHP   2. yii\\base\\Application->run() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\frontend\\web\\index.php:18
[Sat Apr 25 22:40:25.260305 2015] [:error] [pid 6268:tid 1068] [client ::1:61262] PHP   3. yii\\web\\Application->handleRequest() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Application.php:375
[Sat Apr 25 22:40:25.260305 2015] [:error] [pid 6268:tid 1068] [client ::1:61262] PHP   4. yii\\base\\Module->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\web\\Application.php:83
[Sat Apr 25 22:40:25.260305 2015] [:error] [pid 6268:tid 1068] [client ::1:61262] PHP   5. yii\\base\\Controller->runAction() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Module.php:455
[Sat Apr 25 22:40:25.260305 2015] [:error] [pid 6268:tid 1068] [client ::1:61262] PHP   6. yii\\base\\InlineAction->runWithParams() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\Controller.php:151
[Sat Apr 25 22:40:25.260305 2015] [:error] [pid 6268:tid 1068] [client ::1:61262] PHP   7. call_user_func_array:{C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55}() C:\\Users\\radiofisik\\Desktop\\kgnictasks\\root\\vendor\\yiisoft\\yii2\\base\\InlineAction.php:55
